title,vote_average,vote_count,release_date,runtime,adult,original_language,overview,popularity,tagline,genres,production_companies
Predator,7.506,7265,1987-06-12,107,False,en,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,57.562,Soon the hunt will begin.,"Science Fiction, Action, Adventure, Thriller","Silver Pictures, 20th Century Fox, Lawrence Gordon Productions, Davis Entertainment, Amercent Films, American Entertainment Partners L.P., Estudios Churubusco Azteca S.A."
Fifty Shades Darker,6.492,7259,2017-02-08,118,False,en,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",58.367,Every fairy tale has a dark side.,"Drama, Romance","Universal Pictures, Perfect World Pictures, Michael De Luca Productions, dentsu, Fuji Television Network, Perfect World Pictures"
Groundhog Day,7.606,7255,1993-02-11,101,False,en,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",28.171,He’s having the worst day of his life… Over and over again.,"Romance, Fantasy, Drama, Comedy",Columbia Pictures
The Exorcist,7.72,7247,1973-12-26,122,False,en,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",94.668,"Something almost beyond comprehension is happening to a girl on this street, in this house… and a man has been sent for as a last resort. This man is The Exorcist.",Horror,"Hoya Productions, Warner Bros. Pictures"
The Terminal,7.33,7241,2004-06-17,128,False,en,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",23.758,Life is waiting.,"Comedy, Drama","Amblin Entertainment, Parkes/MacDonald Productions, DreamWorks Pictures"
The Lego Movie,7.418,7233,2014-02-06,100,False,en,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",30.267,The story of a nobody who saved everybody.,"Animation, Family, Adventure, Comedy, Fantasy","Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Bros. Pictures Animation, Animal Logic"
The Nice Guys,7.108,7230,2016-05-15,116,False,en,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,19.553,They're not that nice.,"Comedy, Crime, Action","Silver Pictures, Waypoint Entertainment, Bloom, Warner Bros. Pictures"
Princess Mononoke,8.338,7228,1997-07-12,134,False,ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",54.696,The Fate Of The World Rests On The Courage Of One Warrior.,"Adventure, Fantasy, Animation","Studio Ghibli, Nibariki, dentsu Music And Entertainment, TNDG, Tokuma Shoten, Nippon Television Network Corporation, dentsu"
Don't Look Up,7.135,7227,2021-12-07,138,False,en,Two American astronomers attempt to warn humankind about an approaching comet that will wipe out life on planet Earth.,29.694,Based on truly possible events.,"Science Fiction, Comedy, Drama",Hyperobject Industries
The Expendables,6.227,7225,2010-08-03,103,False,en,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",89.721,Choose your weapon.,"Thriller, Adventure, Action","Nimar Studios, Rogue Marble, Millennium Media, Nu Image, Lionsgate, Thunder Road"
Nocturnal Animals,7.442,7196,2016-11-04,117,False,en,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",21.733,When you love someone you can't just throw it away.,"Drama, Thriller","Universal Pictures, Focus Features, Artina Films, Fade to Black Productions"
Scott Pilgrim vs. the World,7.469,7155,2010-08-12,113,False,en,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",39.003,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,"Action, Comedy, Romance","Marc Platt Productions, Big Talk Productions, Closed on Mondays Entertainment, dentsu"
Batman,7.2,7152,1989-06-21,126,False,en,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",40.79,Have you ever danced with the devil in the pale moonlight?,"Fantasy, Action, Crime","The Guber-Peters Company, Warner Bros. Pictures, PolyGram Filmed Entertainment, DC Comics"
